"# of Use","# Terpakai"
"Web Site Item Must be checked","Web Site Item Must be checked"
"Web Site Store Must be checked","Web Site Store Must be checked"
"Website","Website"
"Websites","Website"
"Wrong BuyRequest instance in options group","Wrong BuyRequest instance in options group"
"Wrong option instance type in options group","Wrong option instance type in options group"
"Wrong option type to get group instance.","Wrong option type to get group instance."
"Wrong product instance type in options group","Wrong product instance type in options group"
"Wrong quote item instance in options group","Wrong quote item instance in options group"
"Wrong quote item option instance in options group","Wrong quote item option instance in options group"
"Year Range","Year Range"
"Yes","Ya"
"Yes/No","Ya/Tidak"
"You cannot delete this attribute","Anda tidak dapat menghapus atribut ini"
"You cannot edit this attribute","Anda tidak dapat merubah atribut ini"
"You cannot remove system attribute from this set.","Anda tidak dapat membuang atribut dari set ini"
"You cannot update this attribute","Anda tidak dapat memperbaharui atribut ini"
"You have no items to compare.","Anda belum memilih produk untuk dibandingkan."
"You may also be interested in the following product(s)","Anda mungkin akan tertarik pada produk-produk ini"
"Zoom In","Pebesar"
"Zoom Out","Perkecil"
"[GLOBAL]","[UMUM]"
"and","dan"
"and above","dan atas"
"cache refresh needed","cache refresh needed"
"categories","categories"
"comma separated","comma separated"
"each","each"
"ex. http://domain.com","Cth. http://domain.com"
"leave blank if its not an image","leave blank if its not an image"
"must be in the allowed values list","must be in the allowed values list"
"per page","produk per halaman"
"products","products"
"px.","px."
"save","save"
"select all","Pilih Semua"
"unselect all","Tidak memilih semua"
"x","x"
"Description","Description"
"Short Description","Short Description"
"Tax Class","Tax Class"
"There are no products matching the selection.","There are no products matching the selection."
"Availability:","Stok:"
"Qty:","Qty:"
"Compare Products","Compare Products"
"You have no items to compare.","You have no items to compare."
"Site Map","Site Map"
"Go to Home Page","Go to Home Page"
"Home","Home"
"Our customer service is available 24/7. Call us at (555) 555-0123.","Our customer service is available 24/7. Call us at (555) 555-0123."
"Categories","Categories"
"Keep your eyes open for our special Back to School items and save A LOT!","Keep your eyes open for our special Back to School items and save A LOT!"
"Categories Sitemap","Categories Sitemap"
"Are you sure you would like to remove all products from your comparison?","Are you sure you would like to remove all products from your comparison?"
"Clear All","Clear All"
"Products Sitemap","Products Sitemap"
